name,data
"
              TobaRana Ch. 鳥羽樂奈
            ",XDDDDDDDDD什麼東西
"
              雪兔
            ",破爛小公司讓我一秒笑噴ww
"
              三尾木木犬
            ","這頻道，v毒癮不輕www"""
"
              Yosom Yallo
            ","這94䲷婆的力量

都看不懂樂奈在說什麼
或是找懂中文的人來幫忙看
然後發現就算中文翻譯成英文
很努力的在理解樂奈在說什麼
評論區看到外國人"
"
              Strong Boi
            ","

大家好 我的名字叫"
"
              Visored Kuzu
            ",I don't know what she's saying but all I can say is YES
"
              I Like Cookies / DN
            ","after 4 seconds watching, i just realized that this is not japanese"
"
              吉靈.
            ","樂奈：奉聞死幫瀉
比24更好笑的笑話是什麼"
"
              Smallwu ovo
            ",梟死 這也太毒wwww
"
              Christkun
            ",So something 360 and try to fly but fail then fell to the lava
"
              Fluff
            ",this is like a fever dream
"
              chadらうごん
            ",等等梟婆就越獄出來留言
"
              Narce Wang
            ",梟到美丁美當 這毒品超純 XDD
"
              TheGreatZorwaldo
            ",I took this language in school and yet i have no idea whats going on
"
              孫奇佑
            ",我梟死了，室友如果看到幫我收屍
"
              Nifka
            ","I love how if you don't speak Chinese, it still works from the position of misunderstanding, since the POV character sort of just tags along. Like hanging around with a talkative airhead who hasn't realized the barrier yet. :DDD"
"
              Steven _TH
            ","I can assure u I have no single fing clue wtf is happening
Im trying to watch the other non hololive videos"
"
              Rivera Mark Denver [Mikell 258 Ch]
            ","Yes
Tf is thise masterpiece?"
"
              TerraReez
            ",Didn't understand a thing but still enjoying it lol
"
              豚豚醬Adonis
            ",我覺得這片也要用英文 這樣梟婆就會變國際台了
"
              魚傘Sakana_kasa
            ","我愛死這個了w
野生焦啊巴  不用點火他自己都能燒起來"
"
              小若
            ","那隻梟也太ㄎㄧㄤ😂
媽的是嗑了多少啊"
"
              夏日
            ",梟死 這什麼大便片害我浪費一整天在這
"
              Han
            ","wwwwwwwwww

破爛小公司

我是"
"
              老狗
            ",又梟了一個.......皮諾可這個直接電死
"
              YEN小顏
            ","這烤肉太熟了，熟到都過期5566年了XD





梟死wwwwwwwwwwwwwww"
"
              Mafura
            ",這三梟大便片有夠好笑
"
              Sebastian Fran Lopez
            ","I did not understand a thing, but either way you truly deserve more subs"
"
              Dominic D'Cocco
            ",Dang... I'll comeback when someone subtittled it.
"
              ばななぽてと
            ","wwwww
絕對不能變成炎柱
絕命六龜葡萄"
"
              梟婆的小梟子
            ","👇🏻
已重複看百次😆😆"
"
              HK416最高だ
            ","但是觀看人數卻差這麼多
我覺得這比角卷跟peko還好笑"
"
              12陳嘉進
            ",我笑在絕命六龜葡萄w
"
              BeiDong Orazy
            ",破爛小公司XD後面對話也太ㄎㄧㄤ。
"
              Larrybyrd
            ",I dont understand but i enjoy this
"
              Q毛
            ",絕命六龜葡萄ㄠ  啊啊啊啊啊啊啊！！！！！
"
              Danfong TUX
            ",我超想看熊頭的 拜託🙏
"
              江承穎
            ","熊頭：（鼻樑死去）
樂奈：我不會讓任何一個人死去"
"
              Sloth
            ",i never know that i needed a possessed drunk fairy girl in my life
"
              LoveJuice
            ","what is this, i need an immediate translation 🤣"
"
              kyunoebiruojisan
            ", ScatTenshi 草   
"
              クレアClaire
            ",幹我梟瘋了😂
"
              Kuu Luna
            ","it keeps getting recommended

watching this for a.. I dunno

oh I'm here again."
"
              cola trash video studio可樂廢片工作室
            ",我肯定是被替身攻擊了
"
              語風薯薯
            ",ㄎㄧㄤ 到😂我已經不知道該說什麼了
"
              Neko Tofu
            ",梟到不能自理
"
              nanya Ingoa
            ",希望有一天可以看到熊頭出現在麥塊裡XD
"
              tipho
            ",我到底看了啥梟…
"
              天堂的马赛克
            ",这么优质的频道现在才看到
"
              Hey Moona!
            ",抱歉 我要取走破爛小公司這段了（#
"
              吳玠浩
            ",梟死啊，雖然沒什麼在看樂奈就是了
"
              syaondri
            ","I dunno what they said, but this is amazing XD"
"
              陳恩
            ",看完笑死受不鳥www
"
              郭軒辰
            ",這大便片犧牲了我的睡眠時間觀看 值得
"
              DeRong Hong
            ",幹我到底看了啥梟
"
              emm3861ovO
            ",梟死人  XD
"
              Punchew
            ",I'm chinese and I still barely understand her. lol.
"
              外送咩
            ",un......貓頭鷹小姐被玩壞了
"
              Distraction Official
            ",I need some translationn xD
"
              牛牛
            ",這真的太好梟 每天看一次
"
              貓頭鷹小七
            ",太梟張了哈哈哈。
"
              太阿鄧
            ",幹梟死XDD
"
              謝祥琦
            ","Minecraft如果加入梟告 （O）
Minecraft如果加入梟     （X）"
"
              日衵馹鈤
            ",（大腦停止運轉
"
              七海めぐみ
            ",又梟了一個
"
              28 04
            ",幹！XDD 吃我訂閱小鈴鐺了啦！！> W <
"
              鼠餅
            ",我為何要看這個（重播
"
              OMD 小焱私の名為焱
            ",作者到底克了什麼 梟死
"
              F亞彥
            ",絕命六龜葡萄
"
              Sol Dadguy
            ",乐奈和鸟羽你们尽量抢，托比枭我要了
"
              Milkitalix
            ",Yes. I completely understood that.
"
              Tec PhIn
            ","_-#）

""你就为了我去死吧"""
"
              阮阮的史莱姆
            ",有失误
"
              七草香織打檯人生
            ",看來是該做一台“梟寶”了w
"
              D酒不沾の雪花
            ",三義木雕博物館XDDD
"
              Morly
            ",梟死人了XDD
"
              兔乃
            ",讚嘆梟子
"
              ポエメソソ
            ", fünfundzwanzig 到底要怎麼樣才能發成那樣lol
"
              無盡漆黑的藍天
            ",三義木雕博物館為什麼突然出現迷之抖動啦🤣
"
              Wei
            ",梟到爆
"
              林逸安
            ",那個錄音檔是不是就算小失誤(細節
"
              Allen Kuo
            ",到底什麼是絕命六龜葡萄啊XDDDDD
"
              羅德羅爾RoadRoller
            ",絕命六龜葡萄
"
              Terry Liau
            ",好可愛
"
              The random
            ",到底為什麼 三義木雕博物館 那麼好笑？
"
              只是路人
            ","“蛤？”

看完之後我只想說"
"
              曹力仁
            ",你這個潑辣的sister(稱讚
"
              中年大叔
            ","(重點大誤
這個精神 值得我們學習
死都要打掉告示牌"
"
              CHI CHI Ch
            ",哈哈考北我刚刚看了什么喔
"
              Boye The Wise
            ","Pure art
Beautiful,"
"
              2unv
            ",三義木雕博物館
"
              tony tsai
            ",其實她這要算草鴞……難道她是玉井這邊的女生嗎…？
"
              Air Potato
            ",笑死
"
              林勁呈
            ",期待可以做咪路一集
"
              小狐狸
            ",我看了三梟（默默按下訂閱
"
              Manca Channel
            ",梟婆
"
              百命妖貓
            ",恩....(這貓頭鷹瘋了 不如....
"
              楊勝堂
            ",不行了，笑得好慘
"
              拉麵梟子
            ",梟死
"
              千日紅
            ",不管重看幾次都覺得超級白癡XD
"
              Pony Nema
            ",破坏小公司XDDD
"
              楓葉Op
            ",一個會起梟的片片
"
              wolfe black
            ",優質毒品
"
              白貓貓
            ",考慮做牛肉ㄇwww
"
              memory X
            ",恩......這濃度哇尬意
"
              納粹SS第一親衛隊
            ",怪不得叫梟婆
"
              銀叶
            ", 那你喜歡露西亞的板板嗎(#
"
              waifu Hunter
            ",someone please translate this because i really wanna know whats being said. took me a few seconds to realize this wasnt japanese.
"
              貓貓人
            ",太梟了吧
"
              曾EASON
            ",所以可以考慮迪鹿嗎～
"
              蛋糕
            ",這是三梟
"
              布布布
            ",真的有病（壓訂閱）
"
              可愛小蠑民
            ",可以拍小蠑螈的嗎？香草奈落
"
              林陽
            ",明明說的是中文，但我一句話都聽不懂……
"
              浪費食物の心智魔方
            ",最有趣的部份是翅膀揮動方向不一樣ww
"
              末日之最
            ",我就是梟~
"
              陳榮賢
            ",梟婆
"
              Chen_plays
            ",Another VTUBER...... HELL YEAH
"
              今村耕平
            ",樂奈沒有輸
"
              jgb 96215
            ",的G.wav嗎這彩(ㄕ)蛋(ㄨˋ)是
"
              You-Zheng Sun
            ",跪求熊頭
"
              凜煌住民Domoku
            ",絕命六龜葡萄
"
              伊歐
            ",梟死
"
              W_L.王龍
            ",梟死
"
              lin 224
            ",梟死
"
              塔塔逆
            ",能不能做過國棟或牛肉
"
              邱瑞錦
            ",哈哈⋯
"
              Clifford喵亮
            ","
大家好...我的名字叫..."
"
              XT JI
            ",又梟了一個
"
              苦力怕怕 JIM
            ","""盜墓"" 是動詞欸?
欸不是

喜歡的東西是: ""盜墓"""
"
              瀬由衣
            ",絕命六龜葡萄是三小wwww
"
              紹詮陳
            ",天啊，這頻道昨天才50定閱ㄟ，今天就2000多了
"
              卜卜
            ",Pekora同款叫聲
"
              綠光小亮
            ",雪梟：所以妳大老遠跑來跳岩漿就為了把版版幹掉？    還有 360的時候轉出來那些紅紅的東西（有點像在岩漿下墊一個方塊然後自己站在下面會看到岩漿漏下來的粒子效果）是什麼，血嗎
"
              hin cheung
            ",梟四鳥
"
              My Son Use this account
            ",Yes :^)
"
              WTP? OIDA
            ","What makes it more hilarious is the comments.

I've seen this video so many times...and yet I have never been more absolutely confused."
"
              the ugly is spy
            ",我梟死了wwww
"
              八崎大蛇
            ","我看啊 那隻梟想變木雕啊
我有舅舅真的在三義做木雕
三義木雕博物館到底是三毀"
"
              RHao阿昊ovO
            ",破爛小公司是什麼梗啊?? 最近加入的火山梟子
"
              王永嘉
            ",廢到校  可能是素材還不夠多 吸不夠
"
              道龍
            ",藥頭發藥中
"
              Sharp
            ",這是三小笑死
"
              鍾俊瑋
            ","但是從䲷婆嘴裡說出來的我卻聽不懂
我看的懂中文"
"
              白雲雀
            ",梟死
"
              神苑零奈
            ",梟死
"
              Kitty Chou
            ",好多毒梟？
"
              安庭
            ",可以貼到西洽嗎 這個好讚
"
              林志衡
            ",我梟瘋了
"
              Drinky
            ",Woah I landed on the weird part of youtube again somehow.
"
              Ryukyutasi
            ",這有毒 梟死
"
              JannickCM
            ",梟費
"
              Hamtarou
            ","PLEASE DO ENG SUB FOR THIS AS WELL, I BEG YOU"
"
              Steven
            ",你嗑了什麼
"
              mather
            ",Felicidades youtube ya me recomienda vtubers chinas ^.^
"
              呱呱阿龍
            ",忍術吃我訂閱之術你逆
"
              だれも
            ",I don’t understand Chinese but I still get it
"
              jyujin98
            ","...but in this case there is no english nor simplified chinese subtitles lmao.

Normally if I cant understand what someone is saying in chinese, i would look at the subtitles....."
"
              安庭
            ",wwwwwww
"
              MØRI VÎRŪS
            ","

Captions: Unavailable"
"
              Ja Swer
            ","笑死,外國人看不懂就按不喜歡"
"
              Aru òvó
            ",這沒問題嗎 警察在跟監你了啦
"
              たまらしkaito.
            ",Toba sounds like she's always in an existential crisis.
"
              阿騰
            ",這些人物你是怎麼做出來的
"
              Saber
            ",笑死 這會紅
"
              暴風雪
            ",請問轉360的影片在那 拜託
"
              匠電車でD
            ",Я ничего не понял. Что?
"
              陳璘勝
            ",脖子的特效怎麼做的
"
              Traior246
            ",加個英文字幕推廣一下吧
"
              乙路人
            ",破烂小公司
"
              Tmc YT
            ",no idea who that is or what they are saying but i like it
"
              channel setting
            ",Dis is so well made
"
              Tim Wu
            ","會是""樂奈不喜歡 沒有錢""我以為"
"
              Haruka -ADH
            ",Ora ngerti🗿
"
              dicky satria
            ",That is one crispy angel
"
              洪定謙
            ","雖然片長只有1分鐘
我浪費了30分鐘在這"
"
              陳77
            ",看來是時候熊頭了吧
"
              ActuallyHaruto
            ",I wosh to understand but i cannot i am sad..
"
              ChunPo
            ",這是什麼梟張廢片
"
              Myturf
            ",I understand nothing but i agree
"
              李朝瑞
            ",破綻
"
              Tec PhIn
            ",?????????
"
              Ganni Laoshi
            ",可以做miru嗎
"
              Hype Monke
            ","wow I'm on the Chinese / Japanese / Korean side?,of YouTube....."
"
              TheClickster
            ",i dont understand but this is probably very funny
"
              Coriod Danta
            ",Even people who main chinese can't figure out what she said。
"
              Gogesans Alexwolf
            ","Rena Wide

 "
"
              Diendi A.D
            ","There no sub ,i cant understand the conten"
"
              Lisbord Δ
            ",I need context.
"
              Kenda ke
            ",YouTube y sus combinaciones raras
"
              Li-bat09 .T
            ",Good video
"
              John michael nuñez
            ",This is not japanese? :(
"
              Keane
            ","don't understand what she's saying, it sounds funny though."
"
              風餅カゼクーキ
            ",夾在中間就不怎麼好笑了
"
              soon fei don
            ",Owl Mai god
"
              KiraAsakura14
            ",She's like a Chinese Watame. XD
"
              Kaka Lu
            ",???
"
              Professhional Hunter
            ",My ears and eyes is bleeding cuz i dont understand
"
              清板橋
            ",ＸＤ
"
              Loki The Lil' Pug
            ","chinese???



uhhhhhhhhhh"
"
              Kuma Yuki
            ","where subs
where subs"
"
              Ancken Chen
            ",炎上wwwwwww
"
              gamers arduinos
            ",I cant understanding
"
              freegamer
            ",i agree with her
"
              南長崎Googl
            ",Englishほしい
"
              Normal Human
            ",What?
"
              sheytrum
            ",Help me to make this mod plz
"
              GARR!! ANGERY!
            ",I have no idea how I got here.
"
              Camperrr
            ",Nice
"
              ·sev·
            ",Yes
"
              InfernoHomura
            ",Who is this?
"
              Batbutt Aran
            ",....wat
"
              ADMV- ZOLDYCK 2
            ",Im not chinase ):
"
              SuperJose 132564
            ",WTF
"
              calvin chandra
            ",Iam cool
"
              MilkShield Ch [ミルクシールド]
            ",Wtf
"
              Carlos
            ",Eu não falo mandarim
"
              Darylene Chan
            ",Im chinese but i dont rly like Hololive chinese
